,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
8790,SP1,02/03/16,Sevilla,Eibar,1,0,Sevilla
8791,SP1,03/03/16,Espanol,Betis,0,3,Betis
8792,SP1,03/03/16,Granada,Sp Gijon,2,0,Granada
8793,SP1,03/03/16,Vallecano,Barcelona,1,5,Barcelona
8794,SP1,05/03/16,Getafe,Sevilla,1,1,D
8795,SP1,05/03/16,La Coruna,Malaga,3,3,D
8796,SP1,05/03/16,Real Madrid,Celta,7,1,Real Madrid
8797,SP1,05/03/16,Villarreal,Las Palmas,0,1,Las Palmas
8798,SP1,06/03/16,Betis,Granada,2,0,Betis
8799,SP1,06/03/16,Eibar,Barcelona,0,4,Barcelona
8800,SP1,06/03/16,Sociedad,Levante,1,1,D
8801,SP1,06/03/16,Sp Gijon,Ath Bilbao,0,2,Ath Bilbao
8802,SP1,06/03/16,Valencia,Ath Madrid,1,3,Ath Madrid
8803,SP1,07/03/16,Espanol,Vallecano,2,1,Espanol
8804,SP1,11/03/16,Malaga,Sp Gijon,1,0,Malaga
8805,SP1,12/03/16,Ath Madrid,La Coruna,3,0,Ath Madrid
8806,SP1,12/03/16,Barcelona,Getafe,6,0,Barcelona
8807,SP1,12/03/16,Celta,Sociedad,1,0,Celta
8808,SP1,12/03/16,Vallecano,Eibar,1,1,D
8809,SP1,13/03/16,Ath Bilbao,Betis,3,1,Ath Bilbao
8810,SP1,13/03/16,Las Palmas,Real Madrid,1,2,Real Madrid
8811,SP1,13/03/16,Levante,Valencia,1,0,Levante
8812,SP1,13/03/16,Sevilla,Villarreal,4,2,Sevilla
8813,SP1,14/03/16,Granada,Espanol,1,1,D
8814,SP1,18/03/16,Getafe,Eibar,1,1,D
8815,SP1,19/03/16,Betis,Malaga,0,1,Malaga
8816,SP1,19/03/16,Granada,Vallecano,2,2,D
8817,SP1,19/03/16,La Coruna,Levante,2,1,La Coruna
8818,SP1,19/03/16,Sociedad,Las Palmas,0,1,Las Palmas
8819,SP1,19/03/16,Sp Gijon,Ath Madrid,2,1,Sp Gijon
8820,SP1,20/03/16,Espanol,Ath Bilbao,2,1,Espanol
8821,SP1,20/03/16,Real Madrid,Sevilla,4,0,Real Madrid
8822,SP1,20/03/16,Valencia,Celta,0,2,Celta
8823,SP1,20/03/16,Villarreal,Barcelona,2,2,D
8824,SP1,01/04/16,Vallecano,Getafe,2,0,Vallecano
8825,SP1,02/04/16,Ath Madrid,Betis,5,1,Ath Madrid
8826,SP1,02/04/16,Barcelona,Real Madrid,1,2,Real Madrid
8827,SP1,02/04/16,Celta,La Coruna,1,1,D
8828,SP1,02/04/16,Las Palmas,Valencia,2,1,Las Palmas
8829,SP1,03/04/16,Ath Bilbao,Granada,1,1,D
8830,SP1,03/04/16,Eibar,Villarreal,1,2,Villarreal
8831,SP1,03/04/16,Malaga,Espanol,1,1,D
8832,SP1,03/04/16,Sevilla,Sociedad,1,2,Sociedad
8833,SP1,04/04/16,Levante,Sp Gijon,0,0,D
8834,SP1,08/04/16,Granada,Malaga,0,0,D
8835,SP1,09/04/16,Betis,Levante,1,0,Betis
8836,SP1,09/04/16,Espanol,Ath Madrid,1,3,Ath Madrid
8837,SP1,09/04/16,Real Madrid,Eibar,4,0,Real Madrid
8838,SP1,09/04/16,Sociedad,Barcelona,1,0,Sociedad
8839,SP1,10/04/16,Ath Bilbao,Vallecano,1,0,Ath Bilbao
8840,SP1,10/04/16,Sp Gijon,Celta,0,1,Celta
8841,SP1,10/04/16,Valencia,Sevilla,2,1,Valencia
8842,SP1,10/04/16,Villarreal,Getafe,2,0,Villarreal
8843,SP1,11/04/16,La Coruna,Las Palmas,1,3,Las Palmas
8844,SP1,15/04/16,Levante,Espanol,2,1,Levante
8845,SP1,16/04/16,Celta,Betis,1,1,D
8846,SP1,16/04/16,Eibar,Sociedad,2,1,Eibar
8847,SP1,16/04/16,Getafe,Real Madrid,1,5,Real Madrid
8848,SP1,16/04/16,Las Palmas,Sp Gijon,1,1,D
8849,SP1,17/04/16,Ath Madrid,Granada,3,0,Ath Madrid
8850,SP1,17/04/16,Barcelona,Valencia,1,2,Valencia
8851,SP1,17/04/16,Malaga,Ath Bilbao,0,1,Ath Bilbao
8852,SP1,17/04/16,Sevilla,La Coruna,1,1,D
8853,SP1,17/04/16,Vallecano,Villarreal,2,1,Vallecano
8854,SP1,19/04/16,Betis,Las Palmas,1,0,Betis
8855,SP1,19/04/16,Espanol,Celta,1,1,D
8856,SP1,20/04/16,Ath Bilbao,Ath Madrid,0,1,Ath Madrid
8857,SP1,20/04/16,La Coruna,Barcelona,0,8,Barcelona
8858,SP1,20/04/16,Malaga,Vallecano,1,1,D
8859,SP1,20/04/16,Real Madrid,Villarreal,3,0,Real Madrid
8860,SP1,20/04/16,Sp Gijon,Sevilla,2,1,Sp Gijon
8861,SP1,20/04/16,Valencia,Eibar,4,0,Valencia
8862,SP1,21/04/16,Granada,Levante,5,1,Granada
8863,SP1,21/04/16,Sociedad,Getafe,1,2,Getafe
8864,SP1,22/04/16,Las Palmas,Espanol,4,0,Las Palmas
8865,SP1,23/04/16,Ath Madrid,Malaga,1,0,Ath Madrid
8866,SP1,23/04/16,Barcelona,Sp Gijon,6,0,Barcelona
8867,SP1,23/04/16,Eibar,La Coruna,1,1,D
8868,SP1,23/04/16,Vallecano,Real Madrid,2,3,Real Madrid
8869,SP1,24/04/16,Getafe,Valencia,2,2,D
8870,SP1,24/04/16,Levante,Ath Bilbao,2,2,D
8871,SP1,24/04/16,Sevilla,Betis,2,0,Sevilla
8872,SP1,24/04/16,Villarreal,Sociedad,0,0,D
8873,SP1,25/04/16,Celta,Granada,2,1,Celta
8874,SP1,29/04/16,Sp Gijon,Eibar,2,0,Sp Gijon
8875,SP1,30/04/16,Ath Madrid,Vallecano,1,0,Ath Madrid
8876,SP1,30/04/16,Betis,Barcelona,0,2,Barcelona
8877,SP1,30/04/16,Granada,Las Palmas,3,2,Granada
8878,SP1,30/04/16,Sociedad,Real Madrid,0,1,Real Madrid
8879,SP1,01/05/16,Ath Bilbao,Celta,2,1,Ath Bilbao
8880,SP1,01/05/16,Espanol,Sevilla,1,0,Espanol
8881,SP1,01/05/16,La Coruna,Getafe,0,2,Getafe
8882,SP1,01/05/16,Valencia,Villarreal,0,2,Villarreal
8883,SP1,02/05/16,Malaga,Levante,3,1,Malaga
8884,SP1,08/05/16,Barcelona,Espanol,5,0,Barcelona
8885,SP1,08/05/16,Celta,Malaga,1,0,Celta
8886,SP1,08/05/16,Eibar,Betis,1,1,D
8887,SP1,08/05/16,Getafe,Sp Gijon,1,1,D
8888,SP1,08/05/16,Las Palmas,Ath Bilbao,0,0,D
8889,SP1,08/05/16,Levante,Ath Madrid,2,1,Levante
8890,SP1,08/05/16,Real Madrid,Valencia,3,2,Real Madrid
8891,SP1,08/05/16,Sevilla,Granada,1,4,Granada
8892,SP1,08/05/16,Sociedad,Vallecano,2,1,Sociedad
8893,SP1,08/05/16,Villarreal,La Coruna,0,2,La Coruna
8894,SP1,13/05/16,Valencia,Sociedad,0,1,Sociedad
8895,SP1,14/05/16,Ath Bilbao,Sevilla,3,1,Ath Bilbao
8896,SP1,14/05/16,Ath Madrid,Celta,2,0,Ath Madrid
8897,SP1,14/05/16,Granada,Barcelona,0,3,Barcelona
8898,SP1,14/05/16,La Coruna,Real Madrid,0,2,Real Madrid
